,lot_area,CropETo,TotalWater,water_dist,castorieindex,firstfloor,add_g_size,parval
9278,2.28,3.265,4.6037037037037,11.112560596217817,95.0,1504.0,0.0,168827.0
9280,1.64,3.1275,4.46785714285714,5.069175795742962,67.0,1764.0,550.0,116293.0
9281,2.27,1.6133333333333302,3.22395954881369,12.239979941555733,100.0,0.0,0.0,163200.0
9282,3.5,3.08916666666667,4.41309523809524,4.661441937526169,29.0,2044.0,1508.0,248616.0
9284,20.0,3.08916666666667,4.41309523809524,12.627934434850788,71.0,0.0,0.0,172514.0
9285,77.8,2.30333333333333,2.92666666666667,13.024189412706017,100.0,0.0,0.0,819342.0
9287,2.46,3.08916666666667,4.41309523809524,7.031080589733298,58.0,8500.0,0.0,459336.0
9288,16.98,3.08916666666667,4.41309523809524,7.061891624516523,90.0,728.0,0.0,104710.0
9289,75.5,3.08916666666667,4.41309523809524,7.105752346002403,95.0,1096.0,0.0,1221500.0
9290,20.0,2.30333333333333,2.92666666666667,17.366684009274884,72.0,0.0,0.0,507595.0
9291,18.66,3.265,4.6037037037037,16.930720064856835,95.0,1008.0,0.0,120104.0
9292,17.93,3.265,4.6037037037037,20.217432924651128,100.0,0.0,0.0,359128.0
9293,18.6,3.265,4.6037037037037,19.142375486831526,90.0,1396.0,0.0,670017.0
9301,16.35,2.30333333333333,2.92666666666667,19.303618160463678,72.0,0.0,0.0,117722.0
9302,4.15,3.265,4.6037037037037,19.60603235909911,58.0,1022.0,1890.0,102432.0
9303,0.91,2.30333333333333,2.92666666666667,14.989836187827306,95.0,1344.0,1232.0,246574.0
9304,4.78,3.08916666666667,4.41309523809524,14.994560980907595,57.0,1120.0,1720.0,82097.0
9305,1.49,3.195,3.7666666666666697,3.8802879467015408,88.0,1536.0,0.0,111111.0
9307,40.0,2.30333333333333,2.92666666666667,11.803663800412604,72.0,0.0,0.0,160304.0
9313,1.27,3.265,4.6037037037037,20.744212674933507,57.0,1142.0,504.0,102117.0
9314,39.4,2.0658333333333303,2.8339080459770094,9.42448411514508,100.0,1401.0,0.0,210336.0
9316,0.9,3.265,4.6037037037037,16.009355992894307,72.0,2880.0,1050.0,130050.0
9317,28.47,3.265,4.6037037037037,15.87758707182608,72.0,984.0,0.0,262250.0
9318,20.0,2.30333333333333,2.92666666666667,15.394833688874387,72.0,0.0,0.0,217945.0
9320,17.36,3.195,3.7666666666666697,20.706923195667816,95.0,1176.0,440.0,240737.0
9322,2.2,3.195,3.7666666666666697,20.73602701942703,95.0,1549.0,399.0,79742.0
9323,0.55,3.08916666666667,4.41309523809524,12.131956288961625,100.0,3472.0,0.0,145442.0
9328,18.86,3.1275,4.46785714285714,9.757761435901276,67.0,1950.0,388.0,331725.0
9329,3.1,2.30333333333333,2.92666666666667,10.321143911053733,72.0,8700.0,2100.0,988380.0
9330,0.09,3.715,5.48880333654155,4.254791685000187,24.0,0.0,0.0,19767.0
9333,1.38,3.195,3.7666666666666697,18.523715027612134,72.0,1688.0,520.0,145754.0
9335,9.26,1.6133333333333302,3.22395954881369,15.066899355897943,58.0,1100.0,400.0,142121.0
9336,1.45,2.30333333333333,2.92666666666667,15.402032038084904,50.0,29385.0,0.0,1387062.0
9340,39.94,3.265,4.6037037037037,7.350568538348224,68.0,0.0,0.0,254853.0
9341,4.36,3.265,4.6037037037037,15.610258513177712,90.0,2368.0,624.0,274895.0
9343,19.6,2.30333333333333,2.92666666666667,10.763857250700068,100.0,0.0,0.0,106799.0
9344,39.0,3.265,4.6037037037037,8.398979339311834,72.0,0.0,0.0,1028800.0
9345,19.7,3.265,4.6037037037037,8.724396057501478,95.0,1408.0,440.0,377097.0
9347,0.13,2.30333333333333,2.92666666666667,3.5439906060881894,65.0,0.0,0.0,45558.0
9348,159.04,3.265,4.6037037037037,18.021322704703074,100.0,0.0,0.0,1608100.0
9353,33.72,2.30333333333333,2.92666666666667,11.170225610632125,100.0,1700.0,0.0,219575.0
9355,35.88,2.30333333333333,2.92666666666667,12.895081715296836,58.0,1320.0,400.0,314020.0
9357,21.7,3.265,4.6037037037037,3.1655609434925047,65.0,1200.0,480.0,212752.0
9359,0.0,3.265,4.6037037037037,13.290637582419686,72.0,0.0,0.0,239811.0
9360,1.0,3.15916666666667,3.7666666666666697,13.481900523089775,72.0,0.0,0.0,39642.0
9361,2.3,3.15916666666667,3.7666666666666697,13.259688979971767,72.0,1448.0,440.0,161262.0
9362,1.03,2.37916666666667,4.0436171064598,18.230590931562954,70.0,1623.0,1182.0,129800.0
9363,2.93,2.37916666666667,4.0436171064598,18.221769128082908,70.0,0.0,0.0,91870.0
9365,0.5,1.5683333333333302,3.08755337195328,5.134519213315652,46.0,0.0,0.0,62543.0
9367,0.68,1.5683333333333302,3.08755337195328,5.136440473481609,95.0,0.0,0.0,62543.0
9370,78.18,2.30333333333333,2.92666666666667,4.165742382744178,86.0,1040.0,0.0,255705.0
9378,0.95,3.265,4.6037037037037,15.028329978277528,80.0,1088.0,0.0,32751.0
9384,0.37,3.265,4.6037037037037,15.061681026696553,80.0,0.0,0.0,351.0
9385,1.22,3.265,4.6037037037037,15.098805428031644,77.0,600.0,408.0,32601.0
9386,0.87,3.265,4.6037037037037,14.975500370704118,77.0,846.0,0.0,24784.0
9387,0.83,3.265,4.6037037037037,15.02171923656526,77.0,748.0,120.0,37471.0
9388,0.43,3.265,4.6037037037037,15.03578861204706,77.0,654.0,480.0,73044.0
9389,17.68,2.37916666666667,4.0436171064598,15.286607382549017,4.0,1528.0,484.0,132313.0
9392,0.11,3.265,4.6037037037037,3.2540239590073012,65.0,0.0,0.0,32501.0
9393,0.1,3.265,4.6037037037037,3.2488228693971783,65.0,0.0,0.0,32501.0
9396,0.07,3.715,5.48880333654155,3.606866183399042,57.0,0.0,0.0,40873.0
9397,40.0,3.715,5.48880333654155,14.532057833796525,90.0,855.0,0.0,525136.0
9398,0.09,3.715,5.48880333654155,3.5978333378328173,85.0,1702.0,413.0,40873.0
9402,0.08,3.715,5.48880333654155,3.61055830704903,57.0,777.0,1602.0,40873.0
9404,20.11,3.715,5.48880333654155,1.5671954996385804,85.0,1196.0,0.0,272908.0
9412,1.19,3.265,4.6037037037037,3.9068342989675293,88.0,2370.0,525.0,242078.0
9415,28.11,3.08916666666667,4.41309523809524,3.0281675195058364,53.0,0.0,6400.0,199403.0
9416,2.14,3.265,4.6037037037037,3.7004064090883175,62.0,1811.0,1082.0,422399.0
9417,25.27,3.265,4.6037037037037,3.119114034891959,65.0,874.0,0.0,172076.0
9422,19.71,3.265,4.6037037037037,1.4971565081188358,88.0,1072.0,0.0,268107.0
9423,2.5,2.30333333333333,2.92666666666667,4.1060859096571765,67.0,3222.0,880.0,215178.0
9424,26.2,3.265,4.6037037037037,1.7321774094609452,65.0,1048.0,636.0,305883.0
9430,2.26,3.08916666666667,4.36025832091406,1.6953524977615413,80.0,2300.0,816.0,353784.0
9434,5.13,3.08916666666667,4.36025832091406,4.669717950523691,77.0,2060.0,798.0,216490.0
9440,0.49,3.265,4.6037037037037,4.039432590682217,42.0,3257.0,925.0,494507.0
9441,5.0,3.1275,4.46785714285714,1.7076651372061438,88.0,1927.0,864.0,234307.0
9443,39.85,3.1275,4.46785714285714,3.2999865658100886,62.0,0.0,0.0,186710.0
9445,20.1,3.265,4.6037037037037,3.8326986689385567,70.0,0.0,0.0,197118.0
9446,2.09,2.30333333333333,2.92666666666667,2.868511914156188,70.0,3782.0,904.0,593247.0
9448,16.82,3.265,4.6037037037037,4.2644590315646855,67.0,0.0,0.0,401189.0
9449,77.19,3.08916666666667,4.41309523809524,2.0146898342736037,67.0,816.0,0.0,514464.0
9451,76.8,3.08916666666667,4.41309523809524,3.0974367225779535,23.0,1008.0,0.0,649588.0
9464,0.14,3.1275,4.46785714285714,4.208861675196868,65.0,0.0,0.0,40859.0
9465,0.14,3.1275,4.46785714285714,4.19384120218943,29.0,0.0,0.0,40859.0
9466,0.14,3.1275,4.46785714285714,4.188948745602181,12.0,0.0,0.0,40859.0
9469,39.7,2.30333333333333,2.92666666666667,11.769550958131953,90.0,0.0,0.0,253846.0
9470,76.39,2.30333333333333,2.92666666666667,13.22644738597672,90.0,2328.0,484.0,802346.0
9471,9.63,1.6133333333333302,3.22395954881369,14.390265453215676,23.0,42785.0,0.0,1054643.0
9476,139.54,3.265,4.6037037037037,2.970128526832938,80.0,0.0,0.0,623620.0
9479,37.97,2.30333333333333,2.92666666666667,11.80517838058763,90.0,1994.0,484.0,310929.0
9481,38.41,2.30333333333333,2.92666666666667,12.210643288633534,95.0,1805.0,504.0,280159.0
9482,39.99,2.30333333333333,2.92666666666667,12.430684564195824,95.0,1850.0,638.0,398711.0
9485,38.67,1.6133333333333302,3.22395954881369,14.66852235849591,90.0,1372.0,440.0,303331.0
9486,63.59,1.6133333333333302,3.22395954881369,14.47823447495017,90.0,100365.0,2544.0,7037700.0
9487,19.7,3.265,4.6037037037037,14.638845194150894,90.0,1728.0,147.0,298132.0
9493,36.91,2.0658333333333303,2.8339080459770094,14.337686385523776,42.0,768.0,154.0,157108.0
9494,39.0,3.265,4.6037037037037,14.41505563510288,90.0,1595.0,0.0,530037.0
9499,0.69,1.6133333333333302,3.22395954881369,14.204293249241527,45.0,2154.0,576.0,160631.0
9501,1.45,1.6133333333333302,3.22395954881369,14.994608055671993,67.0,1434.0,506.0,208900.0
9502,18.65,3.15916666666667,3.7666666666666697,12.416601883947749,95.0,2325.0,4181.0,498137.0
9504,2.0,2.30333333333333,2.92666666666667,12.193883013154702,95.0,2591.0,825.0,232408.0
9506,14.1,2.30333333333333,2.92666666666667,12.418914956848502,57.0,0.0,0.0,176325.0
9507,0.0,2.30333333333333,2.92666666666667,14.633265920928464,90.0,0.0,0.0,477164.0
9508,17.4,2.30333333333333,2.92666666666667,15.439018522266304,90.0,0.0,0.0,94588.0
9510,19.5,2.30333333333333,2.92666666666667,15.43453970309648,90.0,0.0,0.0,150309.0
9511,18.91,3.08916666666667,4.41309523809524,2.951427422741705,70.0,1361.0,0.0,441073.0
9514,0.0,3.1275,4.46785714285714,4.130570469313108,24.0,0.0,0.0,26753.0
9515,0.15,3.1275,4.46785714285714,4.1826226808763804,21.0,0.0,0.0,40859.0
9516,0.14,3.1275,4.46785714285714,4.197845383364647,65.0,2019.0,601.0,40859.0
9517,9.08,3.08916666666667,4.36025832091406,14.214336548876858,45.0,1912.0,728.0,421362.0
9518,7.78,1.6133333333333302,3.22395954881369,14.802218875246046,42.0,1567.0,462.0,266627.0
9519,0.0,3.1275,4.46785714285714,12.9026463629599,81.0,0.0,0.0,322942.0
9520,19.4,3.265,4.6037037037037,6.406702528894668,62.0,1566.0,958.0,284630.0
9521,18.67,2.0658333333333303,2.8339080459770094,6.312488584467072,62.0,1302.0,0.0,199451.0
9522,0.73,2.30333333333333,2.92666666666667,6.745970284681027,62.0,2358.0,0.0,35083.0
9524,1.9,3.08916666666667,4.36025832091406,1.7909949899071738,80.0,2753.0,939.0,333273.0
9525,0.13,3.265,4.6037037037037,3.3236893856620244,62.0,0.0,0.0,18827.0
9527,0.13,3.265,4.6037037037037,3.252818065237816,62.0,0.0,0.0,18827.0
9528,0.13,3.265,4.6037037037037,3.2513683722988658,62.0,0.0,0.0,18827.0
9533,0.15,3.1275,4.46785714285714,4.233913131485795,65.0,0.0,0.0,43891.0
9540,0.15,3.1275,4.46785714285714,4.230139261156936,65.0,0.0,0.0,43891.0
9541,0.15,3.1275,4.46785714285714,4.222767227976107,65.0,0.0,0.0,43891.0
9543,0.15,3.1275,4.46785714285714,4.215630741037267,65.0,0.0,0.0,43891.0
9544,0.15,3.1275,4.46785714285714,4.226423917667754,65.0,0.0,0.0,43891.0
9545,0.15,3.1275,4.46785714285714,4.2191694325294335,65.0,0.0,0.0,43891.0
9546,0.14,3.1275,4.46785714285714,4.240383890821142,65.0,0.0,0.0,43891.0
9547,0.14,3.1275,4.46785714285714,4.239319260867006,65.0,0.0,0.0,43891.0
9548,0.14,3.1275,4.46785714285714,4.240072708556339,65.0,0.0,0.0,43891.0
9549,0.14,3.1275,4.46785714285714,4.238986164667497,65.0,0.0,0.0,43891.0
9550,0.14,3.1275,4.46785714285714,4.238681707469136,65.0,0.0,0.0,43891.0
9551,0.14,3.1275,4.46785714285714,4.2396813674280605,65.0,0.0,0.0,43891.0
9552,19.48,1.6133333333333302,3.22395954881369,3.4242161280038443,62.0,0.0,0.0,327612.0
9555,0.66,3.15916666666667,3.7666666666666697,3.8748957387001424,77.0,1695.0,1385.0,226600.0
9556,56.65,3.265,4.6037037037037,2.247003645376072,33.0,0.0,0.0,491378.0
9557,19.54,3.08916666666667,4.41309523809524,6.138285178959046,42.0,0.0,0.0,101940.0
9559,6.78,3.1275,4.46785714285714,3.61448327318415,62.0,680.0,260.0,114951.0
9561,18.93,3.1275,4.46785714285714,4.5531409493067985,67.0,0.0,0.0,556024.0
9563,19.57,3.08916666666667,4.41309523809524,4.624979315737421,29.0,3136.0,803.0,559771.0
9565,1.0,1.5683333333333302,3.08755337195328,3.5875925169408083,24.0,1516.0,672.0,313852.0
9568,2.32,3.1275,4.46785714285714,3.213528586651488,32.0,2034.0,702.0,290604.0
9569,2.4,3.1275,4.46785714285714,3.128865403164518,32.0,1910.0,520.0,275706.0
9571,9.0,3.15916666666667,3.7666666666666697,3.8344188588098187,77.0,1092.0,0.0,95727.0
9573,14.25,2.87666666666667,4.6037037037037,3.900584906200282,77.0,1152.0,176.0,359317.0
9574,19.37,3.1275,4.46785714285714,4.8471316228734835,33.0,870.0,0.0,579500.0
9575,17.97,1.5683333333333302,3.08755337195328,3.709142262572084,88.0,1662.0,0.0,196847.0
9581,1.99,2.30333333333333,2.92666666666667,11.706998796547401,23.0,1714.0,0.0,169741.0
9584,2.5,3.1275,4.46785714285714,4.0469636316718365,54.0,1296.0,0.0,178570.0
9585,19.8,1.5683333333333302,3.08755337195328,4.608559029579772,54.0,1920.0,550.0,347349.0
9589,20.0,2.30333333333333,2.92666666666667,17.87199331489784,72.0,0.0,0.0,90780.0
9590,2.42,2.30333333333333,2.92666666666667,18.005534834382967,77.0,1650.0,483.0,91570.0
9594,15.73,2.30333333333333,2.92666666666667,17.428347294243007,49.0,1626.0,0.0,245236.0
9596,1.0,2.30333333333333,2.92666666666667,17.676753705397466,49.0,760.0,0.0,32074.0
9598,20.0,2.30333333333333,2.92666666666667,17.883924843033494,100.0,1308.0,0.0,255859.0
9600,91.76,3.1275,4.46785714285714,4.3145663283232585,38.0,2944.0,306.0,388775.0
9602,1.45,2.30333333333333,2.92666666666667,17.46547382851685,68.0,1056.0,528.0,39051.0
9604,1.51,2.30333333333333,2.92666666666667,17.782930217403667,72.0,2295.0,0.0,197764.0
9608,19.7,3.15916666666667,3.7666666666666697,13.245329974458725,95.0,861.0,0.0,341992.0
9611,158.8,3.265,4.6037037037037,12.829040854408204,73.0,0.0,0.0,994014.0
9618,39.39,3.15916666666667,3.7666666666666697,13.116260856541894,67.0,0.0,0.0,369625.0
9620,19.06,2.30333333333333,2.92666666666667,17.992104255710288,49.0,2292.0,668.0,341516.0
9623,19.55,3.15916666666667,3.7666666666666697,12.697010997063735,80.0,2030.0,432.0,176431.0
9625,1.87,3.15916666666667,3.7666666666666697,12.775970319047214,72.0,1741.0,504.0,205212.0
9627,18.62,3.195,3.7666666666666697,13.321901851376245,95.0,0.0,0.0,397912.0
9629,302.11,3.08916666666667,4.41309523809524,7.2817279465319,16.0,0.0,0.0,1009191.0
9632,37.56,3.265,4.6037037037037,12.271935475446774,72.0,0.0,0.0,264470.0
9633,20.5,3.1275,4.46785714285714,1.799159291481362,29.0,2607.0,1092.0,407286.0
9637,19.55,2.30333333333333,2.92666666666667,18.5603627049336,77.0,3064.0,1085.0,344182.0
9638,40.0,3.1275,4.46785714285714,1.6855033692808317,23.0,0.0,0.0,275344.0
9640,28.52,3.265,4.6037037037037,2.330349328697649,80.0,0.0,0.0,709825.0
9641,8.49,1.5683333333333302,3.08755337195328,5.255704788575952,95.0,1242.0,0.0,146101.0
9642,62.87,3.46416666666667,4.948809523809519,2.1897133017342725,80.0,0.0,0.0,2052672.0
9645,80.0,2.37916666666667,4.0436171064598,6.503003444630566,95.0,1164.0,0.0,222727.0
9646,34.31,3.195,3.7666666666666697,2.859636990515096,23.0,0.0,0.0,11848940.0
9647,181.35,3.15916666666667,3.7666666666666697,3.5203689557008864,95.0,0.0,0.0,9905151.0
9650,2.0,3.1275,4.46785714285714,2.7526751442418096,33.0,1816.0,560.0,214528.0
9651,19.7,3.1275,4.46785714285714,2.8414215623037538,65.0,0.0,0.0,331044.0
9654,10.77,3.195,3.7666666666666697,5.894169805992797,33.0,1544.0,0.0,68457.0
9656,31.86,3.1275,4.46785714285714,6.0502810371369815,33.0,2238.0,520.0,546486.0
9657,32.7,3.1275,4.46785714285714,5.642346939446238,90.0,1152.0,0.0,326433.0
9660,3.82,3.08916666666667,4.36025832091406,4.029641562369092,88.0,1050.0,0.0,61143.0
9662,135.39,3.195,3.7666666666666697,0.8622555946501641,72.0,480.0,0.0,660219.0
9664,1.78,2.30333333333333,2.92666666666667,6.847605526766713,62.0,24564.0,0.0,3748698.0
9665,0.14,3.1275,4.46785714285714,4.22351287771772,65.0,0.0,0.0,43891.0
9666,0.14,3.1275,4.46785714285714,4.197089806235209,65.0,0.0,0.0,40859.0
9667,0.14,3.1275,4.46785714285714,4.196775153843086,12.0,0.0,0.0,40859.0
9669,0.15,3.1275,4.46785714285714,4.186669967144072,12.0,0.0,0.0,40859.0
9670,0.15,3.1275,4.46785714285714,4.190190747515961,12.0,0.0,0.0,40859.0
9671,0.15,3.1275,4.46785714285714,4.189841766104163,12.0,0.0,0.0,40859.0
9672,10.11,3.08916666666667,4.36025832091406,2.6109258536786597,33.0,2224.0,600.0,138829.0
9673,0.14,3.1275,4.46785714285714,4.196229387564103,12.0,0.0,0.0,40859.0
9675,30.57,3.08916666666667,4.41309523809524,12.842337608012441,23.0,1102.0,0.0,414474.0
